DateKey,Sales Date,Month,Day,Year,MonthName,DayofWeek,WeekendorWeekday,WeeKNumber,Quarter,YearMonth,YearQuarter,YearWeekNumber,YearWeekdayOrWeekend,YearDayOfWeek
04122015,4/12/2015,4,12,2015,April,Sunday,Weekend,16,Quarter 2,2015-April,2015-Quarter 2,2015-16,2015-Weekend,2015-Sunday
04132015,4/13/2015,4,13,2015,April,Monday,Weekday,16,Quarter 2,2015-April,2015-Quarter 2,2015-16,2015-Weekday,2015-Monday
04142015,4/14/2015,4,14,2015,April,Tuesday,Weekday,16,Quarter 2,2015-April,2015-Quarter 2,2015-16,2015-Weekday,2015-Tuesday
04152015,4/15/2015,4,15,2015,April,Wednesday,Weekday,16,Quarter 2,2015-April,2015-Quarter 2,2015-16,2015-Weekday,2015-Wednesday
04162015,4/16/2015,4,16,2015,April,Thursday,Weekday,16,Quarter 2,2015-April,2015-Quarter 2,2015-16,2015-Weekday,2015-Thursday
04172015,4/17/2015,4,17,2015,April,Friday,Weekday,16,Quarter 2,2015-April,2015-Quarter 2,2015-16,2015-Weekday,2015-Friday
04182015,4/18/2015,4,18,2015,April,Saturday,Weekend,16,Quarter 2,2015-April,2015-Quarter 2,2015-16,2015-Weekend,2015-Saturday
04192015,4/19/2015,4,19,2015,April,Sunday,Weekend,17,Quarter 2,2015-April,2015-Quarter 2,2015-17,2015-Weekend,2015-Sunday
04202015,4/20/2015,4,20,2015,April,Monday,Weekday,17,Quarter 2,2015-April,2015-Quarter 2,2015-17,2015-Weekday,2015-Monday
04212015,4/21/2015,4,21,2015,April,Tuesday,Weekday,17,Quarter 2,2015-April,2015-Quarter 2,2015-17,2015-Weekday,2015-Tuesday
04222015,4/22/2015,4,22,2015,April,Wednesday,Weekday,17,Quarter 2,2015-April,2015-Quarter 2,2015-17,2015-Weekday,2015-Wednesday
04232015,4/23/2015,4,23,2015,April,Thursday,Weekday,17,Quarter 2,2015-April,2015-Quarter 2,2015-17,2015-Weekday,2015-Thursday
04242015,4/24/2015,4,24,2015,April,Friday,Weekday,17,Quarter 2,2015-April,2015-Quarter 2,2015-17,2015-Weekday,2015-Friday
04252015,4/25/2015,4,25,2015,April,Saturday,Weekend,17,Quarter 2,2015-April,2015-Quarter 2,2015-17,2015-Weekend,2015-Saturday
04262015,4/26/2015,4,26,2015,April,Sunday,Weekend,18,Quarter 2,2015-April,2015-Quarter 2,2015-18,2015-Weekend,2015-Sunday
04272015,4/27/2015,4,27,2015,April,Monday,Weekday,18,Quarter 2,2015-April,2015-Quarter 2,2015-18,2015-Weekday,2015-Monday
04282015,4/28/2015,4,28,2015,April,Tuesday,Weekday,18,Quarter 2,2015-April,2015-Quarter 2,2015-18,2015-Weekday,2015-Tuesday
04292015,4/29/2015,4,29,2015,April,Wednesday,Weekday,18,Quarter 2,2015-April,2015-Quarter 2,2015-18,2015-Weekday,2015-Wednesday
04302015,4/30/2015,4,30,2015,April,Thursday,Weekday,18,Quarter 2,2015-April,2015-Quarter 2,2015-18,2015-Weekday,2015-Thursday
05012015,5/1/2015,5,1,2015,May,Friday,Weekday,18,Quarter 2,2015-May,2015-Quarter 2,2015-18,2015-Weekday,2015-Friday
05022015,5/2/2015,5,2,2015,May,Saturday,Weekend,18,Quarter 2,2015-May,2015-Quarter 2,2015-18,2015-Weekend,2015-Saturday
05032015,5/3/2015,5,3,2015,May,Sunday,Weekend,19,Quarter 2,2015-May,2015-Quarter 2,2015-19,2015-Weekend,2015-Sunday
05042015,5/4/2015,5,4,2015,May,Monday,Weekday,19,Quarter 2,2015-May,2015-Quarter 2,2015-19,2015-Weekday,2015-Monday
05052015,5/5/2015,5,5,2015,May,Tuesday,Weekday,19,Quarter 2,2015-May,2015-Quarter 2,2015-19,2015-Weekday,2015-Tuesday
05062015,5/6/2015,5,6,2015,May,Wednesday,Weekday,19,Quarter 2,2015-May,2015-Quarter 2,2015-19,2015-Weekday,2015-Wednesday
05072015,5/7/2015,5,7,2015,May,Thursday,Weekday,19,Quarter 2,2015-May,2015-Quarter 2,2015-19,2015-Weekday,2015-Thursday
05082015,5/8/2015,5,8,2015,May,Friday,Weekday,19,Quarter 2,2015-May,2015-Quarter 2,2015-19,2015-Weekday,2015-Friday
05092015,5/9/2015,5,9,2015,May,Saturday,Weekend,19,Quarter 2,2015-May,2015-Quarter 2,2015-19,2015-Weekend,2015-Saturday
05102015,5/10/2015,5,10,2015,May,Sunday,Weekend,20,Quarter 2,2015-May,2015-Quarter 2,2015-20,2015-Weekend,2015-Sunday
05112015,5/11/2015,5,11,2015,May,Monday,Weekday,20,Quarter 2,2015-May,2015-Quarter 2,2015-20,2015-Weekday,2015-Monday
05122015,5/12/2015,5,12,2015,May,Tuesday,Weekday,20,Quarter 2,2015-May,2015-Quarter 2,2015-20,2015-Weekday,2015-Tuesday
05132015,5/13/2015,5,13,2015,May,Wednesday,Weekday,20,Quarter 2,2015-May,2015-Quarter 2,2015-20,2015-Weekday,2015-Wednesday
05142015,5/14/2015,5,14,2015,May,Thursday,Weekday,20,Quarter 2,2015-May,2015-Quarter 2,2015-20,2015-Weekday,2015-Thursday
05152015,5/15/2015,5,15,2015,May,Friday,Weekday,20,Quarter 2,2015-May,2015-Quarter 2,2015-20,2015-Weekday,2015-Friday
05162015,5/16/2015,5,16,2015,May,Saturday,Weekend,20,Quarter 2,2015-May,2015-Quarter 2,2015-20,2015-Weekend,2015-Saturday
05172015,5/17/2015,5,17,2015,May,Sunday,Weekend,21,Quarter 2,2015-May,2015-Quarter 2,2015-21,2015-Weekend,2015-Sunday
05182015,5/18/2015,5,18,2015,May,Monday,Weekday,21,Quarter 2,2015-May,2015-Quarter 2,2015-21,2015-Weekday,2015-Monday
05192015,5/19/2015,5,19,2015,May,Tuesday,Weekday,21,Quarter 2,2015-May,2015-Quarter 2,2015-21,2015-Weekday,2015-Tuesday
05202015,5/20/2015,5,20,2015,May,Wednesday,Weekday,21,Quarter 2,2015-May,2015-Quarter 2,2015-21,2015-Weekday,2015-Wednesday
05212015,5/21/2015,5,21,2015,May,Thursday,Weekday,21,Quarter 2,2015-May,2015-Quarter 2,2015-21,2015-Weekday,2015-Thursday
05222015,5/22/2015,5,22,2015,May,Friday,Weekday,21,Quarter 2,2015-May,2015-Quarter 2,2015-21,2015-Weekday,2015-Friday
05232015,5/23/2015,5,23,2015,May,Saturday,Weekend,21,Quarter 2,2015-May,2015-Quarter 2,2015-21,2015-Weekend,2015-Saturday
05242015,5/24/2015,5,24,2015,May,Sunday,Weekend,22,Quarter 2,2015-May,2015-Quarter 2,2015-22,2015-Weekend,2015-Sunday
05252015,5/25/2015,5,25,2015,May,Monday,Weekday,22,Quarter 2,2015-May,2015-Quarter 2,2015-22,2015-Weekday,2015-Monday
05262015,5/26/2015,5,26,2015,May,Tuesday,Weekday,22,Quarter 2,2015-May,2015-Quarter 2,2015-22,2015-Weekday,2015-Tuesday
05272015,5/27/2015,5,27,2015,May,Wednesday,Weekday,22,Quarter 2,2015-May,2015-Quarter 2,2015-22,2015-Weekday,2015-Wednesday
05282015,5/28/2015,5,28,2015,May,Thursday,Weekday,22,Quarter 2,2015-May,2015-Quarter 2,2015-22,2015-Weekday,2015-Thursday
05292015,5/29/2015,5,29,2015,May,Friday,Weekday,22,Quarter 2,2015-May,2015-Quarter 2,2015-22,2015-Weekday,2015-Friday
05302015,5/30/2015,5,30,2015,May,Saturday,Weekend,22,Quarter 2,2015-May,2015-Quarter 2,2015-22,2015-Weekend,2015-Saturday
05312015,5/31/2015,5,31,2015,May,Sunday,Weekend,23,Quarter 2,2015-May,2015-Quarter 2,2015-23,2015-Weekend,2015-Sunday
06012015,6/1/2015,6,1,2015,June,Monday,Weekday,23,Quarter 2,2015-June,2015-Quarter 2,2015-23,2015-Weekday,2015-Monday
06022015,6/2/2015,6,2,2015,June,Tuesday,Weekday,23,Quarter 2,2015-June,2015-Quarter 2,2015-23,2015-Weekday,2015-Tuesday
06032015,6/3/2015,6,3,2015,June,Wednesday,Weekday,23,Quarter 2,2015-June,2015-Quarter 2,2015-23,2015-Weekday,2015-Wednesday
06042015,6/4/2015,6,4,2015,June,Thursday,Weekday,23,Quarter 2,2015-June,2015-Quarter 2,2015-23,2015-Weekday,2015-Thursday
06052015,6/5/2015,6,5,2015,June,Friday,Weekday,23,Quarter 2,2015-June,2015-Quarter 2,2015-23,2015-Weekday,2015-Friday
06062015,6/6/2015,6,6,2015,June,Saturday,Weekend,23,Quarter 2,2015-June,2015-Quarter 2,2015-23,2015-Weekend,2015-Saturday
06072015,6/7/2015,6,7,2015,June,Sunday,Weekend,24,Quarter 2,2015-June,2015-Quarter 2,2015-24,2015-Weekend,2015-Sunday
06082015,6/8/2015,6,8,2015,June,Monday,Weekday,24,Quarter 2,2015-June,2015-Quarter 2,2015-24,2015-Weekday,2015-Monday
06092015,6/9/2015,6,9,2015,June,Tuesday,Weekday,24,Quarter 2,2015-June,2015-Quarter 2,2015-24,2015-Weekday,2015-Tuesday
06102015,6/10/2015,6,10,2015,June,Wednesday,Weekday,24,Quarter 2,2015-June,2015-Quarter 2,2015-24,2015-Weekday,2015-Wednesday
06112015,6/11/2015,6,11,2015,June,Thursday,Weekday,24,Quarter 2,2015-June,2015-Quarter 2,2015-24,2015-Weekday,2015-Thursday
06122015,6/12/2015,6,12,2015,June,Friday,Weekday,24,Quarter 2,2015-June,2015-Quarter 2,2015-24,2015-Weekday,2015-Friday
06132015,6/13/2015,6,13,2015,June,Saturday,Weekend,24,Quarter 2,2015-June,2015-Quarter 2,2015-24,2015-Weekend,2015-Saturday
06142015,6/14/2015,6,14,2015,June,Sunday,Weekend,25,Quarter 2,2015-June,2015-Quarter 2,2015-25,2015-Weekend,2015-Sunday
06152015,6/15/2015,6,15,2015,June,Monday,Weekday,25,Quarter 2,2015-June,2015-Quarter 2,2015-25,2015-Weekday,2015-Monday
06162015,6/16/2015,6,16,2015,June,Tuesday,Weekday,25,Quarter 2,2015-June,2015-Quarter 2,2015-25,2015-Weekday,2015-Tuesday
06172015,6/17/2015,6,17,2015,June,Wednesday,Weekday,25,Quarter 2,2015-June,2015-Quarter 2,2015-25,2015-Weekday,2015-Wednesday
06182015,6/18/2015,6,18,2015,June,Thursday,Weekday,25,Quarter 2,2015-June,2015-Quarter 2,2015-25,2015-Weekday,2015-Thursday
06192015,6/19/2015,6,19,2015,June,Friday,Weekday,25,Quarter 2,2015-June,2015-Quarter 2,2015-25,2015-Weekday,2015-Friday
06202015,6/20/2015,6,20,2015,June,Saturday,Weekend,25,Quarter 2,2015-June,2015-Quarter 2,2015-25,2015-Weekend,2015-Saturday
06212015,6/21/2015,6,21,2015,June,Sunday,Weekend,26,Quarter 2,2015-June,2015-Quarter 2,2015-26,2015-Weekend,2015-Sunday
06222015,6/22/2015,6,22,2015,June,Monday,Weekday,26,Quarter 2,2015-June,2015-Quarter 2,2015-26,2015-Weekday,2015-Monday
06232015,6/23/2015,6,23,2015,June,Tuesday,Weekday,26,Quarter 2,2015-June,2015-Quarter 2,2015-26,2015-Weekday,2015-Tuesday
06242015,6/24/2015,6,24,2015,June,Wednesday,Weekday,26,Quarter 2,2015-June,2015-Quarter 2,2015-26,2015-Weekday,2015-Wednesday
06252015,6/25/2015,6,25,2015,June,Thursday,Weekday,26,Quarter 2,2015-June,2015-Quarter 2,2015-26,2015-Weekday,2015-Thursday
06262015,6/26/2015,6,26,2015,June,Friday,Weekday,26,Quarter 2,2015-June,2015-Quarter 2,2015-26,2015-Weekday,2015-Friday
06272015,6/27/2015,6,27,2015,June,Saturday,Weekend,26,Quarter 2,2015-June,2015-Quarter 2,2015-26,2015-Weekend,2015-Saturday
06282015,6/28/2015,6,28,2015,June,Sunday,Weekend,27,Quarter 2,2015-June,2015-Quarter 2,2015-27,2015-Weekend,2015-Sunday
